Ella Nella;Hello! Welcome to the retro-pop zone. We welcome all kinds of music lovers and musicians, but particularly enjoy the sounds of the retro-revolution 2005-25. Basic rules are just be kind and feel free to share your work. Please try and be discrete and stick to pseudonyms. We haven't had any problems yet, but you never know. Ella.;Happy Belated Birthday Grey! You know mine is just a month before? Anyway, lots of happy returns. I know things have been tough recently, but I wanted to let you know how valued you are in the community and how great your music is.;NO POST TODAY;NO POST TODAY;NO POST TODAY;NO POST TODAY;NO POST TODAY;NO POST TODAY
CuckooSong;Hi all, lovely to meet you, I'm Cuckoo (my friends call me Camille). Look forward to getting to know you.;NO POST TODAY;NO POST TODAY;NO POST TODAY;NO POST TODAY;NO POST TODAY;So I've been writing a little recently, can't wait to show you.;Thanks guys, it means a lot to me!
FuturePerfect;I'd love a mentor, someone to teach me. There seems to be some great older mentors with students on the web - Elvis & BabyBell, Rick and Felt, even Curt and Adrian. I think I'd learn so much from and old fashioned master apprenticeship.;So here's a question, if all the schools are teaching is how to be a citizen, what sort of basis do my students have in history, politics, economics? It's just plain dogma.;I've been getting a lot of lip from my students recently, who want to know why the power keeps getting turned off. Obviously nothing I can do, Grey, what do you do in your classroom when there's trouble? You're a big lad, menace them?;Hey Sunburnt, you been shovelling snow?;NO POST TODAY;Thinking of you Cuckoo;Jesus, where is everyone? It's like a graveyard here.;Hey 12 Tone, I know you say you got your moniker because your name is the same as the inventor of 12 tone music, but I know you...and you're not called Arnold. What's the deal?
DaveyMoon;Recently I've been listening a lot to Ella Nella's new work. Honestly, I do think she's the most sensational pop musician - voice, writing, everything. We've been talking about doing a collaboration. I've got this drum machine that's been doing the rounds - the one with the fixed tempo, you know it. I think it would be perfect for something more mid-tempo for Ella to scream over.;NO POST TODAY;NO POST TODAY;NO POST TODAY;NO POST TODAY;NO POST TODAY;NO POST TODAY;NO POST TODAY
Lady Jane (Elsie Bristol);A good stage name, that's the key for me. I've never used my own name (sorry all Janes out there), unlike my friend Davey. To me, a stage name is like an identity that you can throw on whenever it suits you. In real life I'm not that confident, but Lady Jane can step out in front of all you boys and girls and let 'em have it.;NO POST TODAY;I've always been pretty proud of my roots, in fact my surname is the largest city in my county. I think because of that I've always had a strong connection to my location and I try to write about it as much as possible. People call me Hazelnut because of my hair, not much to say about that. Hey BS, how do you write your stuff?;I've been living alone since my brother was called up to the Navy. Seems like every young man is guarding the perimeter, waiting for something to happen. I'm here wondering when things are going to start changing. All that keeps me going is this board and people on it. I hope you know how much it means to me.;NO POST TODAY;NO POST TODAY;NO POST TODAY;NO POST TODAY
Smoking Elvis;Copying is a big thing for me, I can't see the point. I always used to disagree with Gwilym over how he'd write songs with same title as his favorite artists. I'd say, you're not Neil Young, why not do something else. I think he found it a good springboard for creativity.;I've been living with my girlfriend, the lovely Ella Nella, for like six months now. We're really enjoying it, despite the clouds of black ash that rain down every night from the cement factories. Lots of music, lots of dope, lots of pirated Dustin Hoffman films, fuck the censors! Anyway, she's been thinking of taking in this stray cat we've seen around the neighbourhood. Thing only has three legs, what do you think? I mean, is it me, do you think? Do I look like a Cat lover to you?;Hey guys, some stuff has come up which you might not know about. Something pretty shocking, I can't talk about it in case it endangers anyone here, but I'm going to be taking sometime off the board. I don't know how it happened, but I hope you're all safe. Elvis.;NO POST TODAY;NO POST TODAY;NO POST TODAY;NO POST TODAY;NO POST TODAY
Simple Simon;Wanted to take a moment to tell you about my dear friend Davey Moon. Davey is a super lad, who at the age of four was so prodigious on the Ukulele, he was taken to see the Lord Mayor. I've played with Davey ((nee. Pritchard) for a number of years on different projects and I can say he's an ace on guitar, bass and drums. Top Bloke!;Tried some proper Rooibos tea for the first at Elvis's yesterday. Very tasty. I must come round Studebaker Mansions more often. Look at me up in the Mansion!;When I'm able to drag myself away from the piano, I'm always drawn to the writing of Danzig. You know, there's very few writers on here who make me think quite as hard as him. Honestly, I know some people think him a bit austere, but he's got it covered.;NO POST TODAY;NO POST TODAY;NO POST TODAY;NO POST TODAY;NO POST TODAY
Boyfriend Sweater;This is my Taylor thing. I guess you could call me a bit of shapeshifter, but that's the way I like it. You know, a lot of people talk about having their own style, but for me being a fan and being a musician are the same thing. I just love to get going with an impression and see where it takes me. For this, I'm thinking post-Folklore, 2023ish, just before the car crash that killed Harry Styles.;Hey Elsie (the call you Hazelnut, right), give me ping, I need to chat with you about how incredible you are! So authentic.;I love HAIM, totally unique to their era. Not so unique to others perhaps, but hey ho.;How do I write my stuff? Well, generally I sit down with the drum or chord machines and get a little cycle going. Most of my songs are like four chords in a loop. Then I just jam around over the top. I've been using a lot of the shimmer machine, which everyone seems to have borrowed by now. Just a thief I guess!;NO POST TODAY;//;NO POST TODAY;NO POST TODAY
SGTT;//;//;I guess this song was pretty much my attempt at Phoebe (the last great Female indie star imo). I've never been to LA, but I wanted to convey some of the things they talk about in all those great songs by Elliott, Phoebe, Julien - feeling lonely, lost. I think it's something we can all relate to.;"Yeah Adrian, I dunno. I think mentioning an ex-partner by name is a pretty bold more. I'm not sure I'd do it, but hey, what a song! ""Roads on the County Lines""...";NO POST TODAY;Yeah, I guess I just find Angel a bit too abrasive for me sometimes. I like things nice and mellow and miserable...Happy to chat about it, I'll message.;NO POST TODAY;NO POST TODAY
Grey Gardner;//;//;Hey guys, hope you're all keeping well. I'm keeping the drum machine for the moment, I'll move it on to the next in line tomorrow, which I believe is SGTT.;NO POST TODAY;NO POST TODAY;NO POST TODAY;NO POST TODAY;NO POST TODAY
Blantano;//;//;Record Review: OverCoat by Sunburnt County. A poignant song in the style of Smog, Bill Callahan and Tindersticks. Well worth a listen.;NO POST TODAY;Record Review: River by Lady Jane. Ever the versatile bedroom producer (as we all are now), Lady Jane fashions a stylish rhythm section from sticks, claps and a drum machine. Her electro-acoustic approach manages to sound precise yet organic at the same time, cool like the Ice floats, but warm like the sun.;NO POST TODAY;NO POST TODAY;NO POST TODAY
